Rank,Country / Dependency,Region,Population,% of world,Date
1, China,Asia,"1,412,600,000.00",17.80%,31-Dec-21
2, India,Asia,"1,386,946,912.00",17.50%,18-Jan-22
3, United States,Americas,"333,073,186.00",4.20%,18-Jan-22
4, Indonesia,Asia,"271,350,000.00",3.42%,31-Dec-20
5, Pakistan,Asia,"225,200,000.00",2.84%,1-Jul-21
6, Brazil,Americas,"214,231,641.00",2.70%,18-Jan-22
7, Nigeria,Africa,"211,401,000.00",2.67%,1-Jul-21
8, Bangladesh,Asia,"172,062,576.00",2.17%,18-Jan-22
9, Russia,Europe,"146,171,015.00",1.84%,1-Jan-21
10, Mexico,Americas,"126,014,024.00",1.59%,2-Mar-20
